Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
BLUEWATERS POWER 2 PTY LTD,57 122 896 968,"1,442,624","1,317","9,880,392",-
BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"3,515,195","1,025,973","33,901,136",-
BOC LIMITED,95 000 029 729,"34,356","458,460","3,108,026",-
BORAL LIMITED,13 008 421 761,"1,505,339","348,553","12,217,888",-
BORG MANUFACTURING PTY LIMITED,31 003 246 357,"74,871","139,626","3,019,332",-
BOUNTY MINING LIMITED,19 107 411 067,"143,064","21,474","133,069",-
BP AUSTRALIA INVESTMENTS PTY LTD,66 102 991 551,"715,636","227,780","14,619,975",-
BRICKWORKS LTD,17 000 028 526,"232,116","87,486","4,923,958",-
C S ENERGY LIMITED,54 078 848 745,"15,445,042","234,548","107,693,167","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
CALTEX AUSTRALIA LIMITED,40 004 201 307,"673,668","230,539","13,687,126",-
CAPITEQ PTY LIMITED,24 008 137 559,"55,084",256,"786,157",-
CAPRICORN COPPER HOLDINGS PTY LTD,60 608 241 121,"9,713","61,180","416,354",-
CARGILL AUSTRALIA LIMITED,42 004 684 173,"65,245","43,734","1,476,717",-
CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED,88 121 366 041,"13,328","45,875","1,464,977",-
CBH RESOURCES LIMITED,27 009 423 858,"14,048","90,607","602,231",-
CCCI AUSTRALIA PTY LTD,95 603 555 988,"72,626","7,669","1,074,638",-
CCP VI VG HOLDINGS PTY LTD,41 630 151 530,"114,895","28,167","1,748,721",-
CEMENT AUSTRALIA HOLDINGS PTY LTD,99 001 085 561,"2,771,507","221,890","13,262,481",-
CEMENT AUSTRALIA PTY LIMITED,75 104 053 474,"46,163","43,747","891,812",-
CENTENNIAL COAL COMPANY LIMITED,30 003 714 538,"2,024,212","252,060","3,409,346",-
CENTRAL PETROLEUM LIMITED,72 083 254 308,"77,853",124,"1,181,708",-
CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,86 673 835 011,"43,300","61,946","614,900",-
CEVA PTY LTD,27 122 147 433,"86,845","6,392","1,260,352",-
CHARTER HALL LIMITED,57 113 531 150,"9,156","86,372","449,957",-
CHEMCO PTY LTD,68 008 725 817,"7,758","127,820","915,095",-
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60 098 079 344,"13,095,880","4,357","161,850,360",-
CIMIC GROUP LIMITED,57 004 482 982,"134,974","82,089","2,304,671",-
CITIC PACIFIC MINING MANAGEMENT PTY LTD,64 119 578 371,"1,256,525",187,"23,251,794",-
CITY OF KALGOORLIE-BOULDER,63 711 737 609,"54,129","4,711","83,281",-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,14 613 690 243,"1,636,581","424,266","22,813,161",-
CKI UTILITIES DEVELOPMENT LTD & PAI UTILITIES DEVELOPMENT LTD & 3 OTHS,13 332 330 749,"17,238","444,666","3,341,512",-
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,20 086 492 935,"85,980",416,"1,082,733","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
CLEANAWAY WASTE MANAGEMENT LIMITED,74 101 155 220,"784,907","37,026","4,541,322",-
CMOC MINING PTY LIMITED,17 164 997 317,"11,092","210,330","1,086,607",-
COBHAM AVIATION SERVICES AUSTRALIA PTY LTD,34 003 469 574,"96,793","1,472","1,387,806",-
COCA-COLA AMATIL LIMITED,26 004 139 397,"44,222","123,367","1,328,900",-
COLES GROUP LIMITED,11 004 089 936,"282,849","1,333,826","6,725,857",-
COLLINS TRANSPORT GROUP PTY LTD,66 098 659 342,"62,284","4,527","909,097",-
COMFORTDELGRO CORPORATION AUSTRALIA PTY LTD,84 002 072 004,"116,685","3,778","1,670,820",-
COMGEN AUSTRALIA PTY. LTD.,17 050 242 441,"512,594","25,445","1,821,433",-
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,"6,966","71,109","417,546",-
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,"13,042","97,596","672,361",-
COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,"16,720","148,377","963,297",-
CONOCOPHILLIPS AUSTRALIA GAS HOLDINGS PTY LTD,69 081 089 170,"4,239,804","1,733","80,474,008",-
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LIMITED,88 127 662 257,"78,822",66,"1,137,581",-
CONTURA MINING PTY LTD,58 008 901 915,"111,854","3,188","1,603,754",-
CO-OPERATIVE BULK HANDLING LIMITED,29 256 604 947,"11,444","49,823","424,354",-
CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989,"563,919","212,942","5,015,958",-
CRAIG MOSTYN HOLDINGS PTY LIMITED,14 008 398 356,"43,421","22,324","459,691",-
CROWN RESORTS LIMITED,39 125 709 953,"24,502","134,002","983,462",-
CSL LIMITED,99 051 588 348,"17,376","75,812","589,780",-
CSR LIMITED,90 000 001 276,"310,997","202,776","6,238,815",-
